Regione,Popolazione,PostiIntensivaRegime
Abruzzo,1311580,151
Basilicata,562869,64
Calabria,1947131,221
Campania,5801692,600
Emilia Romagna,4459477,962
Friuli Venezia Giulia,1215220,155
Lazio,5879082,707
Liguria,1550640,251
Lombardia,10060574,1260
Marche,1525271,163
Molise,305617,27
P.A. Bolzano,533050,40
P.A. Trento,541380,84
Piemonte,4356406,420
Puglia,4029053,306
Sardegna,1639591,163
Sicilia,4999891,611
Toscana,3729641,650
Umbria,882015,96
Valle d'Aosta,125666,25
Veneto,4905854,825
